Unnamed: 0,Price,Rating,Num_of_ratings,Category,cleaned_name
0,399.0,4.3,6667,Food essentials,bakerswhip whipping cream powder icing
1,209.0,4.4,3144,Food essentials,nakpro cocoa powder unsweetened alkalized g pro
2,331.0,4.4,20461,Food essentials,hersheys cocoa powder
3,104.0,4.1,2515,Food essentials,bake king grade a quality gm active instant dry yeas
4,258.0,4.2,566,Food essentials,go grass cake decorating set variety of cake sprinkles
5,104.0,4.1,506,Food essentials,bake king grade a quality dry yeast powder g for bak
6,160.0,4.1,161,Food essentials,pmw grade a quality food grade sodium benzoate sb
7,233.0,4.0,136,Food essentials,five star china grass agar agar solid
8,182.0,4.2,808,Food essentials,bake king neutral glazing gel for cake desserts toppi
9,201.0,4.2,1602,Food essentials,nakpro hot cold chocolate powder g protein
10,182.0,4.3,515,Food essentials,bake king liquid glucose for ice cream gm glucose s
11,126.0,4.3,156,Food essentials,bake king corn starch g ararot powder makki atta
12,198.0,4.0,487,Food essentials,bakerswhip vanilla whipping cream powder icing
13,193.0,4.0,966,Food essentials,muchmore gourmetcocoa powdercakeunsweetenedbakingf
14,121.0,4.5,44,Food essentials,haribas sun dried rose petals gulab patti g for he
15,182.0,4.0,91,Food essentials,bake king pectin powder gm vegetarian pectin for gel
16,205.0,4.1,30012,Food essentials,papilon shades of liquid food color ml x bott
17,145.0,3.9,195,Food essentials,puramate agar agar agar agar powder
18,140.0,4.0,276,Food essentials,green piece baking powder gm and baking soda g
19,97.0,3.9,15,Food essentials,bake king mango flavour essence for baking cakes jams
20,188.0,4.1,758,Food essentials,bake king agar agar powder g agar agar for cake and p
21,277.0,4.3,11,Food essentials,renewtria combo of vermicelli golden silver ballsra
22,174.0,4.1,62,Food essentials,dry delight premium coconut powder natural nar
23,252.0,4.0,118,Food essentials,five star veg jelly crystalsstrawberry black currant
24,80.0,3.9,11,Food essentials,puramate milk compound chips choco chips semi solid
25,137.0,4.2,307,Food essentials,organic platter citric acid powdernimbu satlemon salt
26,35.0,4.0,265,Food essentials,puramate baking soda baking soda powder
27,80.0,4.0,689,Food essentials,puramate cocoa powder cocoa powder
28,140.0,4.2,753,Food essentials,bake king gellan gum powder gm for gelling stabilizi
29,162.0,4.0,5498,Food essentials,organic and pure ajinomoto chinese salt monosodium gl
30,179.0,4.1,313,Food essentials,bake king gms powder gm and cmc powder gm making
31,65.0,4.0,8,Food essentials,puramate dark compound chips choco chips semi solid
32,193.0,5.0,26609,Food essentials,urban organics unsweetened dark cocoa powdernatural
33,50.0,5.0,865,Food essentials,puramate instant dry yeast dry yeast powder
34,150.0,4.1,1314,Food essentials,puramate decoration sprinkle compound chips treat choco
35,45.0,4.0,253,Food essentials,puramate tooty fruity mix topping semi solid
36,30.0,5.0,16,Food essentials,puramate corn flour corn flour powder
37,179.0,4.2,81,Food essentials,bake king brewers yeast for wine gm fast fermentatio
38,181.0,5.0,136,Food essentials,pramix premium combo of sprinkles dark chocolate chips
39,300.0,3.0,17,Food essentials,prizex combo of dark white choco chips rainbow spri
40,97.0,4.1,143,Food essentials,nature stuff premium quality natural citric acid
41,205.0,5.0,288,Food essentials,active buy get ocean fish kg dry adult cat food
42,258.0,5.0,12,Food essentials,bake king food essence combo of butterscotch pineapple
43,104.0,4.0,131,Food essentials,dhawak active dry yeast powder used for baking bread
44,182.0,1.0,270,Food essentials,bake king butterscotch flavour essence for baking cakes
45,142.0,1.0,200,Food essentials,fruvanta cornflour powdercorn strachararot powdermak
46,339.0,4.3,13541,Food essentials,fyn citric acid crystals g food grade nimbu sat
47,201.0,4.3,26,Food essentials,five star china grass agar agar solid
48,198.0,4.1,73,Food essentials,mohan impex kg bread improver for pack of baking
49,120.0,4.1,24,Food essentials,bake king rose milk flavour essence for baking cakes j
50,64.0,4.3,263,Food essentials,jamboree multi pearls sprinkle mix rainbow magic pear
51,104.0,3.9,16415,Food essentials,groly organic lemon powder citric acid powder
52,233.0,4.4,1420,Food essentials,foodemporium active dry yeast instant dry yeast g
53,240.0,4.0,36,Food essentials,bake king gms powder glycerol monostearate g for i
54,111.0,4.6,2963,Food essentials,organic purify perfect for cooking cleaning baking sod
55,163.0,3.5,781,Food essentials,bake king pineapple flavour essence for baking cakes j
56,274.0,4.0,117,Food essentials,whiskas months mackeral kg dry young cat fo
57,73.0,4.1,31,Food essentials,five star instant china grass mixstrawberry chocolate
58,142.0,3.9,316,Food essentials,bake king pack of food essence flavour blue berry ba
59,151.0,4.1,49341,Food essentials,green piece premium ajinomoto flavored salt monosodium
60,120.0,4.0,69,Food essentials,natures bridge natural citric acid nimbu sat lemon
61,218.0,4.5,366,Food essentials,drools with container ocean fish kg dry young cat f
62,254.0,4.1,147,Food essentials,bake king ice cream vanilla flavour essence for baking
63,191.0,4.1,75,Food essentials,bake king ml bubble gum flavour food essence for baki
64,160.0,4.8,244,Food essentials,papilon concentrated gel food colour pack of gm x
65,210.0,4.2,24,Food essentials,foodfrillz cocoa baking soda combo pack of baking p
66,310.0,4.4,191,Food essentials,jamboree cake sponge improver useful when making cakes
67,109.0,4.1,18,Food essentials,organic mandya pearled barley certified organic whole g
68,123.0,4.2,8,Food essentials,bake king pack of butterscotch chocolate and vanilla
69,396.0,4.3,26609,Food essentials,prizex combo of dark white choco chips rainbow spri
70,233.0,4.1,357,Food essentials,pedigree adult chicken milk kg dry young dog food
71,167.0,3.9,114,Food essentials,goshudh premium quality baking sodameetha soda g ba
72,139.0,4.1,81,Food essentials,nature connect active dry yeast powder used for baking
73,185.0,4.0,136,Food essentials,fruvanta baking powder gm baking powder
74,245.0,4.4,1234,Food essentials,bake king rasmalai flavour food essence for baking cake
75,299.0,4.3,24,Food essentials,kwality extra lightness for cakes biscuits pastries
76,116.0,4.0,288,Food essentials,jamboree white edible pearls sprinkle cake sprinkle coo
77,196.0,3.9,19,Food essentials,dornish starch citric acid citric crystals
78,69.0,3.9,11,Food essentials,foodfrillz cmc gms powder combo pack g x g
79,113.0,4.4,1598,Food essentials,treat treasure baking soda for cleaning cooking eating
80,30.0,4.3,26,Food essentials,nature stuff premium quality natural citric acid
81,135.0,4.0,13541,Food essentials,active buy get ocean fish kg dry adult cat food
82,255.0,4.3,3001,Food essentials,foodfrillz cocoa powder g instant dry yeast
83,137.0,3.9,214,Food essentials,renewtria instant dry yeast powder for kulchas naans
84,135.0,4.0,263,Food essentials,konfiz iff lemon m flavouressence lemon liquid fo
85,30.0,4.0,16415,Food essentials,konfiz iff american icecream soda flavouressence amer
86,64.0,3.9,1351,Food essentials,fyn citric acid crystals g food grade nimbu sat
87,135.0,5.0,196,Food essentials,five star china grass agar agar solid
88,120.0,5.0,211,Food essentials,bake king grade a quality gm active instant dry yeas
89,245.0,4.4,211,Food essentials,jamboree sodium benzoate helps to preserve food g
90,142.0,2.0,117,Food essentials,jamboree multi pearls sprinkle mix rainbow magic pear
91,339.0,4.0,34,Food essentials,groly organic lemon powder citric acid powder
92,236.0,4.0,85,Food essentials,jamboree vital wheat gluten flour gm baking essenti
93,150.0,5.0,49341,Food essentials,jamboree potassium sorbate sorbet food preservative
94,430.0,5.0,69,Food essentials,puramio liquid food colours ml each pack of m
95,473.0,4.0,136,Food essentials,puramate jelly crystal strawberry jelly crystals
96,104.0,5.0,135,Food essentials,five star instant china grass mixstrawberry chocolate
97,233.0,5.0,7,Food essentials,whiskas months mackeral kg dry young cat fo
98,68.0,4.3,9,Food essentials,palfrey unsweetened natural g cocoa powder for mak
99,140.0,4.3,244,Food essentials,emjer gms cmc powder glycerol monostearate gms powder
100,163.0,4.1,24,Food essentials,natures bridge natural citric acid nimbu sat lemon
101,274.0,4.1,62,Food essentials,drools with container ocean fish kg dry young cat f
102,158.0,4.4,517,Food essentials,papilon assorted culinary essence ml x bottles
103,137.0,4.0,8,Food essentials,brew lab active instant dry yeast sugar tolerant for
104,330.0,4.2,136,Food essentials,jamboree hyderabadi biryani flavour food essence biriya
105,55.0,4.2,47,Food essentials,pramix dark chocolate chips choco chips for baking i
106,254.0,4.0,9,Food essentials,jamboree cake sponge improver useful when making cakes
107,218.0,4.2,48,Food essentials,organic mandya pearled barley certified organic whole g
108,380.0,4.1,41,Food essentials,papilon food essence and colour ml pack of xml fo
109,158.0,4.2,26609,Food essentials,chefzaa edible glazing gel for cake desserts toppings
110,210.0,4.1,217,Food essentials,pedigree adult chicken milk kg dry young dog food
111,310.0,4.5,7962,Food essentials,goshudh premium quality baking sodameetha soda g ba
112,276.0,4.3,194,Food essentials,fyn baking soda powder pure food grade for baking co
113,234.0,4.3,136,Food essentials,organic and pure citric acid powder for food and bakery
114,191.0,4.2,288,Food essentials,brew lab china grass strips plant based quick easy
115,217.0,4.4,266,Food essentials,puramio litchi culinary essence lychee liquid food ess
116,167.0,4.1,357,Food essentials,jamboree white edible pearls sprinkle cake sprinkle coo
117,139.0,4.1,114,Food essentials,dornish starch citric acid citric crystals
118,241.0,3.7,26,Food essentials,papilon liquid food colour pack of ml each yello
119,163.0,3.9,263,Food essentials,colourmist aroma pineapple liquid food essence
120,299.0,3.9,1234,Food essentials,nature stuff premium quality natural citric acid
121,116.0,4.5,13541,Food essentials,fyn baking soda powder pure food grade for baking co
122,80.0,4.0,24,Food essentials,jamboree gms powder gm and cmc powder gm making s
123,113.0,4.4,19,Food essentials,foodfrillz guar gum powder g thickening binding ag
124,281.0,4.3,1598,Food essentials,green piece butter scotch and vanilla flavor food essen
125,205.0,4.1,117,Food essentials,vintop bread improver g raising ingredient powder
126,135.0,4.3,3001,Food essentials,active buy get ocean fish kg dry adult cat food
