Unnamed: 0,Price,Rating,Num_of_ratings,Category,cleaned_name
446,647.0,4.1,252,Musical instruments,bestbrother cm with head tambourine
606,130.0,4.4,9577,Sports,sas sports pack of medium football bib
320,241.0,4.2,3954,Home Appliances,pro w black hand blender
199,2.0,4.0,39744,Home Appliances,pigeon healthifry with high speed air circulation
407,822.0,4.1,22,Musical instruments,gam collection kids key piano keyboard with recordin
423,291.0,5.0,3,Musical instruments,ekta musical gingle pcs kartal instrument
137,186.0,2.0,7,Food essentials,natures bridge natural citric acid nimbu sat lemon
390,377.0,4.0,10,Musical instruments,tern key piano keyboard toy with recording and mic a
268,4.0,4.0,182,Home Appliances,makd pe round shape humidifier wooden l portable ro
250,1.0,2.6,26441,Home Appliances,nova plus by nova amaze ni w dry iron
9,201.0,4.2,1602,Food essentials,nakpro hot cold chocolate powder g protein
518,605.0,4.3,2173,Sports,myhoodwink best smart kick scooter for kids brakes le
595,258.0,3.7,2592,Sports,kidsmate cruiser foldable wheel kick scooter for
331,492.0,3.9,18740,Home Appliances,marq by flipkart range ton star split invert
617,357.0,3.4,1639,Sports,shifter compression cycling gym running and other s
274,123.0,4.2,60,Home Appliances,hdl ceraflo hdl portable room air purifier
84,135.0,4.0,263,Food essentials,konfiz iff lemon m flavouressence lemon liquid fo
275,241.0,4.2,184258,Home Appliances,marq by flipkart aqua biz black tpt l ro uv uf
416,701.0,1.0,3,Musical instruments,gam collection battery operatedmobile charger power op
399,279.0,3.7,62,Musical instruments,just kids key piano keyboard with recording mic
228,2.0,4.1,9,Home Appliances,havells fab alkaline l ro uv alkaline water purif
257,1.0,3.7,5492,Home Appliances,livpure livpepstarcopper l ro uv uf minerals
507,565.0,1.0,1364,Sports,neo strike gloves for tennis cricket multisports wic
412,701.0,3.9,24,Musical instruments,sagaft a kids piano keyboard piano for kids with mic
178,629.0,4.2,53699,Home Appliances,usha armorarwb w dry iron
231,365.0,3.9,9,Home Appliances,wama wmhdt desert maker w food processor
153,473.0,3.9,16415,Food essentials,jamboree hyderabadi biryani flavour food essence biriya
75,299.0,4.3,24,Food essentials,kwality extra lightness for cakes biscuits pastries
92,236.0,4.0,85,Food essentials,jamboree vital wheat gluten flour gm baking essenti
